code,Category,Sub Category,Order,Question,Answer Type,Options,hint text,Influence by question,Expected Answer
170,Health,Services Quality,,Are the services accessible to and sufficient for the target population?,Yes Or No,,,,
171,Health,Services Quality,,Is the access to health services gender-dependent? ,Yes Or No,,,,
172,Health,Services Quality,,"What is the situation in terms of health care personnel- level of training, ratio to health facility, outreach or volunteer workers?",Multiselection,a) Well-trained medical professionals b) Shortage of trained health personnel c) Adequate ratio of personnel to health facilities d) Insufficient health personnel per facility e) Active community outreach workers f) Utilization of volunteer health workers g) No specific health care personnel situation identified,,,
173,Health,Health Information System,,What is the status of the existing health information system? Does an electronic system exist? Is it destroyed? ,Multiselection,a) Well-functioning health information system b) Limited functionality of health information system c) Non-existent electronic health system d) Existing electronic health system e) Electronic system partially destroyed f) Complete destruction of electronic system g) No specific status of health information system identified,,,
174,Health,Health Information System,, Is there a standardized health information system for collecting data?,Yes Or No,,,,
175,Health,Health Information System,, How is data collected and analyzed?,Multiselection,a) Paper-based data collection forms b) Mobile data collection applications c) Interviews with community members d) Surveys and questionnaires e) Health facility records f) Data entered into electronic databases g) Data analysis through software tools h) No specific data collection and analysis methods identified,,,
176,Health,Health Information System,, Is there a need to replace the former health information system? ,Yes Or No,,,,
177,Health,Health Information System,, Is there a need for a temporary paper system until an electronic system is restored/sponsored?,Yes Or No,,,,
178,Health,Problems,, What medical support is needed?,Multiselection,"a) Medical supplies (medications, equipment) b) Skilled medical professionals (doctors, nurses) c) Emergency medical services d) Specialist medical care (surgery, obstetrics) e) Diagnostic equipment (X-ray, lab) f) Mental health and psychosocial support g) Disease prevention and vaccination campaigns h) No specific medical support needs identified",,,
179,Health,Problems,, What are the current or likely water and sanitation and vector borne diseases? (see WASH section),Multiselection,"a) Diarrheal diseases (cholera, gastroenteritis) b) Malaria c) Dengue fever d) Typhoid e) Zika virus f) Chikungunya g) Leptospirosis h) No specific water, sanitation, or vector-borne diseases identified",,,
180,Health,Problems,, What are the primary health problems in the area affected by the emergency?,Multiselection,a) Acute respiratory infections b) Diarrheal diseases c) Malnutrition d) Vector-borne diseases e) Maternal and child health concerns f) Mental health and psychosocial issues g) Limited access to medical care h) No specific primary health problems identified,,,
181,Health,Problems,, What are the most frequent communicable diseases?,Multiselection,a) Influenza b) Diarrheal diseases c) Respiratory infections d) Skin infections e) Waterborne diseases f) Vector-borne diseases g) Sexually transmitted infections h) No specific frequent communicable diseases identified,,,
182,Health,Problems,, What are the primary health problems in the country of origin (if displaced people are involved)?,Multiselection,a) Infectious diseases b) Chronic diseases c) Maternal and child health concerns d) Malnutrition e) Lack of access to medical care f) Limited sanitation and hygiene facilities g) Mental health challenges h) No specific primary health problems identified,,194,Yes
183,Health,Problems,, Any evidence of acute malnutrition? How is this monitored? (Please refer to the Food and Nutrition Section),Yes Or No,,,,
184,Health,Problems,," Are there specific health problems for women (e.g. high birth rate, anaemia, sexually transmitted diseases, sexual violence/rape, and abortion)?",Multiselection,,,,
238,Health,Immunizations,, What is immunization coverage? ,Multiselection,a) High immunization coverage b) Moderate immunization coverage c) Low immunization coverage d) Immunization coverage data not available e) No specific immunization coverage identified,,,
239,Health,Immunizations,,When did the last immunization occur?,Multiselection,a) Within the last 6 months b) Within the last year c) Within the last 2 years d) Within the last 5 years ,,,
237,Health,Immunizations,,Which vaccines given?,Multiselection,a) Measles vaccine b) Polio vaccine c) Diphtheria-tetanus-pertussis (DTP) vaccine d) Hepatitis B vaccine e) Influenza vaccine f) Pneumococcal vaccine g) Meningococcal vaccine h) No specific vaccines identified,,,
185,Health,Immunizations,,Where did the last immunization occur?,Multiselection,e) Immunization location: Government health facility f) Immunization location: NGO-operated clinic g) Immunization location: Mobile health unit h) Immunization location: School-based program i) Immunization location: Not sure or not received,,,
186,Health,Problems,,"are there victims of trauma, injury, or shot wounds (see MHPSS section).",Yes Or No,,,,
187,General,4 Ws,,Are there other organizations in the area?,Yes Or No,,,,
188,General,4 Ws,,What support/services do they offer?,Multiselection,"a) Providing health education and awareness
b) Distributing relief supplies
c) Facilitating community meetings and discussions
d) Offering psychosocial support and counseling
e) Advocating for community needs to external organizations
f) Organizing vocational training and workshops
g) Mobilizing resources for emergency response
h) No specific support or services identified

",,187,Yes
189,General,4 Ws,,volunteer-based or hired,Yes Or No,,,187,Yes
190,General,4 Ws,,Is there a manager,Yes Or No,,,187,Yes
191,General,4 Ws,,What methodologies do they use to implement their interventions? ,multiselection,a) Participatory workshops and training b) Information campaigns and awareness raising c) Mobile clinics and medical camps d) Door-to-door surveys and assessments e) Collaborative community meetings f) Skill-building sessions and demonstrations g) Capacity-building through education h) No specific methodologies identified,,187,yes
192,General,4 Ws,,What is the vision and mission of the organization in “normal” times and now?,Text,,,187,Yes
140,WASH,Vector-borne disease,,Which groups of the population are most affected?,Multiselection,"Children, older people, disabled, adults ",,135,Yes
194,General,Demographics and Community Structure,,Are there any refugees or internally displaced people?,Yes or No,,,,
195,General,Infrastracture and Services,,Does the community have safe access to electricity?,Yes or No,,,,
196,General,Infrastracture and Services,,Is there  access to the Internet in the community?,Yes or No,,,,
91,WASH,Water supply and access,, Do people buy water?,Yes Or No,,,,
198,General,Infrastracture and Services,,What immediate emergency relief is currently provided?,Multiselection,a) Emergency healthcare services b) Food and non-food item distributions c) Child-Friendly Spaces (CFS) d) Water and sanitation interventions e) Shelter and housing support f) Psychological and psychosocial support g) Education and school support h) No specific immediate emergency relief identified,,,
199,General,Infrastracture and Services,,"Do vulnerable populations (children, women, people with disabilities, etc.) have access to shelters or safe spaces and other services?",Yes or No,,,,
200,General,Psychosocial,,What tools does the community usually use to cope with crises/How does the community usually cope? ,Multiselection,a) Social support networks among community members b) Relying on traditional healing practices c) Community-based organizations and committees d) Accessing local religious or spiritual resources e) Self-help groups for mutual assistance f) Engaging in income-generating activities g) Sharing resources within extended families h) No specific coping tools or strategies identified,,,
201,General,Demographics and Community Structure,,"Are you aware of any increased risks to vulnerable populations in the community as a result of the emergency? (e.g. CP risks, GBV)",Yes or No,,"For Example: CP risks, GBV",,
202,General,Psychosocial,,"Are people experiencing stress symptoms (cognitive, behavioral, physical, emotional)? (e.g. different behavior, social withdrawal, grief, anxiety, deteriorating health, headaches, etc.)",Yes or No,,,,
203,General,Demographics and Community Structure,,What are your general impressions of the community?,Multiselection,"Strong sense of community unity and cooperation, Limited access to basic services and amenities,Rich cultural diversity and traditions, Well-developed infrastructure and facilities
,High level of social engagement and activism ,Economic challenges and disparities,Safe and secure environment, Environmental consciousness and sustainability practices",,,
46,Protection - MHPSS - CFS,Community,,Are people experiencing stress symptoms?,Yes or No,,You can follow the resilience kit pamphlet for examples,,
205,General,Demographics and Community Structure,,"How many people are affected by the emergency and where are they? Disaggregate the data by sex, age, disability and so on",Text,,,,
206,General,Demographics and Community Structure,,"General information regarding the entire local population - number of families, number of children/elderly/PWD?",Text,,,,
207,General,Demographics and Community Structure,,What are the main community social structures?,Multiselection,"a) Volunteer groups
b) Self-care groups or committees
c) Community educators or trainers
d) Women's empowerment groups
e) Youth associations
f) Religious organizations
g) Health promoters or advocates
h) No specific main community social structures identified
",,,
208,General,Demographics and Community Structure,, What are people’s likely movements? What are the security factors for the affected people and for potential relief responses?,Multiselection,"Internal displacement within the region,Migration to neighboring areas or countries
,Seeking refuge in temporary shelters or camps,, Relocating to urban centers
, Returning to their homes after the situation stabilizes,Staying with relatives or host families
,Evacuating to designated safe zones, Unpredictable movements due to changing circumstances, Security concerns for affected people due to conflict or violence, Security concerns for relief efforts due to logistical challenges, Security concerns for relief efforts due to lack of access, Coordination challenges among relief organizations
",,,
209,General,Demographics and Community Structure,, Who are the key people to consult or contact in the community?,Text,,,,
210,General,Infrastracture and Services,," Is there equal access for all to existing facilities, including at public places, health centers and schools?",Yes or No,,,,
211,General,Demographics and Community Structure,," What are the formal and informal power structures (for example, community leaders, elders, women’s groups)?",Multiselection,a) Community leaders and elders b) Local government officials c) Religious leaders d) Women's groups or organizations e) Youth groups or associations f) Traditional councils or bodies g) Non-governmental organizations (NGOs) h) No specific power structures identified,,,
212,General,Cultural and Social Factors,, What are the accepted beliefs and practices among the affected population?,Multiselection,"a) Religious beliefs and rituals
b) Cultural traditions and ceremonies
c) Social norms and customs
d) Traditional healing and medical practices
e) Dietary and food-related practices
f) Community governance and decision-making processes
g) Environmental conservation practices
h) Gender roles and responsibilities
i) Education and learning traditions
j) Communication and information-sharing methods",,,
213,General,Cultural and Social Factors,, Are there cultural sensitivities or taboo subjects?,Yes or No,,,,
214,General,Cultural and Social Factors,, How are decisions made in households and in the community?,Multiselection," Patriarchal structure with male head making most decisions, Matriarchal structure with female head making most decisions,Joint decision-making involving multiple family members,Decision-making based on age and seniority,Democratic process involving all family/community members,Influence of community leaders and elders, Decisions made by elected representatives or councils, Decisions based on traditional or cultural norms",,,
215,General,Economic Factors,,Do people have access to cash and/or credit?,Yes or No,,,,
216,General,Economic Factors,,"Are there seasonal variations to be aware of that may restrict access or increase demands on labor? (for example, during harvesting time)",Yes or No,,,,
217,General,Coordination and Collaboration,,Who are the key authorities to liaise and collaborate with?,Multiselection,a) Local government officials b) National government agencies c) Non-governmental organizations (NGOs) d) International humanitarian organizations e) Religious leaders or institutions f) Community leaders or elders g) Health professionals and facilities h) No specific key authorities identified,,,
218,General,Coordination and Collaboration,,"What access to the mass media is there in the area (for example, radio, television, video, newspapers)?",Multiselection,,,,
219,General,Coordination and Collaboration,,What local media organizations and/or non-governmental organisations (NGOs) are there?,Text,,,,
220,WASH,Hygiene,,"Which segments of the population can and should be targeted (for example, mothers, children, community leaders, religious leaders)?",Multiselection,,,,
221,General,Coordination and Collaboration,,"Which segments of the population can and should be targeted (for example, mothers, children, community leaders, religious leaders)?",Multiselection,,,,
222,General,Cultural and Social Factors,,"What are the accepted beliefs and practices or taboos among the affected population towards water, sanitation and hygiene?",Multiselection,a) Using running water for baptisms b) Avoiding certain foods during menstruation c) Bathing at specific times of the day d) Using traditional cleansing practices e) Wearing specific clothing for hygiene purposes f) Avoiding water conservation efforts g) No specific beliefs or practices identified,,,
223,General,Coordination and Collaboration,,What are the existing formal and informal channels of communication and outreach? For both immediate and medium-term mobilization,Multiselection,"Government-run information centers, community health workers,community hygiene volunteers, traditional birth attendants or healers, workers or promoters, school health clubs, WASH committees, cooperatives, churches and mosques, local radio",,,
